12/4/14,4,11:42,21.09,15.75,Detroit; MI,T-Mobile,0,48.878,Mbits/s,Mbits/s
12/4/14,4,11:42,9.02,7.08,Cleveland; OH,AT&T,0,44.028,Mbits/s,Mbits/s
12/4/14,4,11:43,20.92,12.07,Detroit; MI,T-Mobile,0,37.746,Mbits/s,Mbits/s
12/4/14,4,11:43,9.38,8.18,Detroit; MI,T-Mobile,0,28.607,Mbits/s,Mbits/s
12/4/14,4,11:44,14.39,16.09,Detroit; MI,T-Mobile,0,40.64,Mbits/s,Mbits/s
12/4/14,4,11:44,14.69,7.27,Detroit; MI,T-Mobile,0,30.515,Mbits/s,Mbits/s
12/4/14,4,11:44,12.1,15.98,Detroit; MI,T-Mobile,0,33.419,Mbits/s,Mbits/s
12/4/14,4,11:44,11.95,8.72,Detroit; MI,T-Mobile,0,28.817,Mbits/s,Mbits/s
12/4/14,4,11:45,18.01,13.94,Detroit; MI,T-Mobile,0,40.735,Mbits/s,Mbits/s
12/4/14,4,11:45,12.56,12.79,Cleveland; OH,AT&T,0,55.243,Mbits/s,Mbits/s
12/4/14,4,11:46,9.79,14.47,Detroit; MI,Comcast,0,63.511,Mbits/s,Mbits/s
12/4/14,4,11:46,13.21,10.36,Detroit; MI,AT&T,0,36.808,Mbits/s,Mbits/s
12/4/14,4,11:47,18.34,15.98,Detroit; MI,T-Mobile,0,35.729,Mbits/s,Mbits/s
12/4/14,4,11:47,10.35,2.79,Detroit; MI,Comcast,0,37.058,Mbits/s,Mbits/s
12/4/14,4,11:48,3.73,6.69,Cleveland; OH,AT&T,0,41.052,Mbits/s,Mbits/s
12/4/14,4,11:48,22.07,13.58,Detroit; MI,T-Mobile,0,30.872,Mbits/s,Mbits/s
12/4/14,4,11:49,8.45,9.61,Cleveland; OH,AT&T,0,35.079,Mbits/s,Mbits/s
12/4/14,4,11:49,17.27,17.97,Detroit; MI,T-Mobile,0,29.013,Mbits/s,Mbits/s
12/4/14,4,11:49,13.96,15.61,Detroit; MI,T-Mobile,0,54.746,Mbits/s,Mbits/s
12/4/14,4,11:50,12.78,10.68,Cleveland; OH,AT&T,0,56.607,Mbits/s,Mbits/s
12/4/14,4,11:50,10.44,5.17,Detroit; MI,AT&T,0,50.152,Mbits/s,Mbits/s
12/4/14,4,11:50,13.28,12.76,Detroit; MI,AT&T,0,37.661,Mbits/s,Mbits/s
12/4/14,4,12:41,,,,,0,,,
12/4/14,4,12:41,,,,,0,,,
12/4/14,4,12:42,,,,,0,,,
12/4/14,4,12:44,,,speedtest.ne,ne,0,peedtest.ne,,
12/4/14,4,12:45,15.08,18.18,Detroit; MI,T-Mobile,0,27.959,Mbits/s,Mbits/s
12/4/14,4,12:46,15.1,20.17,Detroit; MI,T-Mobile,0,29.837,Mbits/s,Mbits/s
12/4/14,4,12:48,12.38,18.24,Detroit; MI,Comcast,0,35.759,Mbits/s,Mbits/s
12/4/14,4,12:48,20.89,17,Detroit; MI,T-Mobile,0,30.883,Mbits/s,Mbits/s
12/4/14,4,12:49,9.91,13.33,Detroit; MI,Comcast,0,36.256,Mbits/s,Mbits/s
12/4/14,4,12:51,0.16,14.11,Detroit; MI,T-Mobile,0,29.488,Mbits/s,Mbits/s
12/4/14,4,12:52,5.63,17.49,Detroit; MI,Comcast,0,41.565,Mbits/s,Mbits/s
12/4/14,4,12:52,12.28,14.75,Detroit; MI,Comcast,0,35.318,Mbits/s,Mbits/s
12/4/14,4,12:53,19.55,17.79,Detroit; MI,T-Mobile,0,29.445,Mbits/s,Mbits/s
12/4/14,4,12:53,17.93,21.3,Detroit; MI,T-Mobile,0,29.431,Mbits/s,Mbits/s
12/4/14,4,12:54,14.48,20.55,Detroit; MI,T-Mobile,0,30.5,Mbits/s,Mbits/s
12/4/14,4,12:54,20.97,21.67,Detroit; MI,T-Mobile,0,29.16,Mbits/s,Mbits/s
12/4/14,4,12:55,17.2,9.55,Detroit; MI,T-Mobile,0,30.409,Mbits/s,Mbits/s
12/4/14,4,12:56,17.68,7.27,Cleveland; OH,AT&T,0,37.966,Mbits/s,Mbits/s
12/4/14,4,12:57,17.71,11.42,Detroit; MI,T-Mobile,0,30.26,Mbits/s,Mbits/s
12/4/14,4,12:57,11.8,15.68,Cleveland; OH,AT&T,0,38.006,Mbits/s,Mbits/s
12/4/14,4,12:58,8.59,12.19,Detroit; MI,T-Mobile,0,29.839,Mbits/s,Mbits/s
12/4/14,4,12:59,10.14,16.11,Cleveland; OH,AT&T,0,36.561,Mbits/s,Mbits/s
12/4/14,4,13:00,8.09,8.83,Detroit; MI,AT&T,0,36.572,Mbits/s,Mbits/s
12/4/14,4,13:01,17.53,8.92,Detroit; MI,T-Mobile,0,28.718,Mbits/s,Mbits/s
12/4/14,4,13:02,14.8,2.36,Detroit; MI,Comcast,0,34.384,Mbits/s,Mbits/s
12/4/14,4,13:02,14.58,19.04,Detroit; MI,T-Mobile,0,30.769,Mbits/s,Mbits/s
12/4/14,4,13:03,6.98,16.79,Detroit; MI,AT&T,0,36.122,Mbits/s,Mbits/s
12/4/14,4,13:03,8.26,12.69,Detroit; MI,T-Mobile,0,30.581,Mbits/s,Mbits/s
12/4/14,4,13:04,17.58,8.2,Detroit; MI,T-Mobile,0,29.209,Mbits/s,Mbits/s
12/4/14,4,13:05,5.18,13.78,Cleveland; OH,AT&T,0,35.283,Mbits/s,Mbits/s
12/4/14,4,13:05,10.97,14.19,Detroit; MI,T-Mobile,0,31.553,Mbits/s,Mbits/s
12/4/14,4,13:06,14.01,14.34,Detroit; MI,T-Mobile,0,31.214,Mbits/s,Mbits/s
12/4/14,4,13:07,6.02,13.18,Toledo; OH,Amplex,0,52.715,Mbits/s,Mbits/s
